"Scratch-Off Prizes as of 03/07/2012",,,,,,
"Game Number"," Game Name"," Game Close Date"," Ticket Price"," Prize Level"," Total Prizes in Level"," Prizes Claimed"
1028,"Super Set For Life II","04/04/2012",20,"20","444767","280362"
1028,"Super Set For Life II","04/04/2012",20,"25","815607","514158"
1028,"Super Set For Life II","04/04/2012",20,"30","740969","467547"
1028,"Super Set For Life II","04/04/2012",20,"40","296485","187234"
1028,"Super Set For Life II","04/04/2012",20,"100","95798","60928"
1028,"Super Set For Life II","04/04/2012",20,"500","8928","5673"
1028,"Super Set For Life II","04/04/2012",20,"1000","3765","2369"
1028,"Super Set For Life II","04/04/2012",20,"2000","619","381"
1028,"Super Set For Life II","04/04/2012",20,"10000","30","19"
1028,"Super Set For Life II","04/04/2012",20,"$500,000/year**","4","3"
1028,"Super Set For Life II","04/04/2012",20,"TOTAL","2406972","1518674"
1114,"$500,000,000 Blockbuster",,20,"20","6575266","5378351"
1114,"$500,000,000 Blockbuster",,20,"25","2768544","2288186"
1114,"$500,000,000 Blockbuster",,20,"30","1384272","1144949"
1114,"$500,000,000 Blockbuster",,20,"50","692304","573131"
1114,"$500,000,000 Blockbuster",,20,"100","836122","691667"
1114,"$500,000,000 Blockbuster",,20,"200","155731","128832"
1114,"$500,000,000 Blockbuster",,20,"500","46174","38272"
1114,"$500,000,000 Blockbuster",,20,"1000","23137","19073"
1114,"$500,000,000 Blockbuster",,20,"10000","870","717"
1114,"$500,000,000 Blockbuster",,20,"25000","290","241"
1114,"$500,000,000 Blockbuster",,20,"1000000","40","33"
1114,"$500,000,000 Blockbuster",,20,"2500000","10","8"
1114,"$500,000,000 Blockbuster",,20,"TOTAL","12482760","10263460"
1142,"Maximum Millions",,20,"20","731280","195305"
1142,"Maximum Millions",,20,"50","512011","137682"
1142,"Maximum Millions",,20,"100","36289","9657"
1142,"Maximum Millions",,20,"200","18257","4946"
1142,"Maximum Millions",,20,"500","3083","832"
1142,"Maximum Millions",,20,"1000","1324","321"
1142,"Maximum Millions",,20,"5000","62","12"
1142,"Maximum Millions",,20,"10000","16","5"
1142,"Maximum Millions",,20,"1000000","4","1"
1142,"Maximum Millions",,20,"TOTAL","1302326","348761"
1197,"Set For Life",,10,"10","1473604","1320850"
1197,"Set For Life",,10,"20","1227486","1114239"
1197,"Set For Life",,10,"50","204549","186658"
1197,"Set For Life",,10,"100","165283","150341"
1197,"Set For Life",,10,"200","26641","24265"
1197,"Set For Life",,10,"500","3599","3287"
1197,"Set For Life",,10,"1000","313","281"
1197,"Set For Life",,10,"2500","209","187"
1197,"Set For Life",,10,"$250,000/year**","3","2"
1197,"Set For Life",,10,"TOTAL","3101687","2800110"
1214,"Ultimate Casino Jackpot",,50,"50","556104","471948"
1214,"Ultimate Casino Jackpot",,50,"70","648905","551060"
1214,"Ultimate Casino Jackpot",,50,"100","213982","181121"
1214,"Ultimate Casino Jackpot",,50,"150","51554","43657"
1214,"Ultimate Casino Jackpot",,50,"250","14664","12441"
1214,"Ultimate Casino Jackpot",,50,"500","13880","11796"
1214,"Ultimate Casino Jackpot",,50,"1000","4353","3668"
1214,"Ultimate Casino Jackpot",,50,"2000","1565","1311"
1214,"Ultimate Casino Jackpot",,50,"10000","104","92"
1214,"Ultimate Casino Jackpot",,50,"7500000","3","2"
1214,"Ultimate Casino Jackpot",,50,"TOTAL","1505114","1277096"
1217,"Bonus Word Crossword",,3,"3","3460184","1256767"
1217,"Bonus Word Crossword",,3,"5","4448364","1695691"
1217,"Bonus Word Crossword",,3,"10","618236","238914"
1217,"Bonus Word Crossword",,3,"20","370672","144139"
1217,"Bonus Word Crossword",,3,"100","63247","24418"
1217,"Bonus Word Crossword",,3,"500","12878","4998"
1217,"Bonus Word Crossword",,3,"5000","104","42"
1217,"Bonus Word Crossword",,3,"35000","48","19"
1217,"Bonus Word Crossword",,3,"TOTAL","8973733","3364988"
1231,"Maybe It's Your Lucky Day",,1,"1","88795","76817"
1231,"Maybe It's Your Lucky Day",,1,"2","18963","16685"
1231,"Maybe It's Your Lucky Day",,1,"3","15929","14186"
1231,"Maybe It's Your Lucky Day",,1,"4","4746","4256"
1231,"Maybe It's Your Lucky Day",,1,"5","3194","2884"
1231,"Maybe It's Your Lucky Day",,1,"6","3172","2861"
1231,"Maybe It's Your Lucky Day",,1,"10","3171","2916"
1231,"Maybe It's Your Lucky Day",,1,"20","788","726"
1231,"Maybe It's Your Lucky Day",,1,"50","100","90"
1231,"Maybe It's Your Lucky Day",,1,"300","16","14"
1231,"Maybe It's Your Lucky Day",,1,"TOTAL","138874","121435"
1232,"Big Money",,10,"10","587635","389919"
1232,"Big Money",,10,"20","419970","282463"
1232,"Big Money",,10,"30","106733","72448"
1232,"Big Money",,10,"50","63054","42753"
1232,"Big Money",,10,"100","75940","51509"
1232,"Big Money",,10,"300","210","127"
1232,"Big Money",,10,"1000","17","11"
1232,"Big Money",,10,"10000","16","8"
1232,"Big Money",,10,"100000","9","6"
1232,"Big Money",,10,"TOTAL","1253584","839244"
1242,"Casino Bingo",,2,"2","3537796","2591882"
1242,"Casino Bingo",,2,"3","1342199","978756"
1242,"Casino Bingo",,2,"5","1464348","1115530"
1242,"Casino Bingo",,2,"10","366128","276183"
1242,"Casino Bingo",,2,"15","121969","98946"
1242,"Casino Bingo",,2,"20","244028","190206"
1242,"Casino Bingo",,2,"30","62283","50649"
1242,"Casino Bingo",,2,"50","83867","62338"
1242,"Casino Bingo",,2,"100","31126","23968"
1242,"Casino Bingo",,2,"500","2300","1852"
1242,"Casino Bingo",,2,"1000","67","53"
1242,"Casino Bingo",,2,"30000","15","13"
1242,"Casino Bingo",,2,"TOTAL","7256126","5390376"
1253,"Spicy Hot 7's",,2,"2","559352","132610"
1253,"Spicy Hot 7's",,2,"4","643400","157422"
1253,"Spicy Hot 7's",,2,"5","83926","20797"
1253,"Spicy Hot 7's",,2,"10","97899","24980"
1253,"Spicy Hot 7's",,2,"20","41957","10808"
1253,"Spicy Hot 7's",,2,"50","46638","12209"
1253,"Spicy Hot 7's",,2,"100","6471","1731"
1253,"Spicy Hot 7's",,2,"1000","47","13"
1253,"Spicy Hot 7's",,2,"20000","7","2"
1253,"Spicy Hot 7's",,2,"TOTAL","1479697","360572"
1277,"Casino Action",,50,"50","574387","80268"
1277,"Casino Action",,50,"70","670404","94143"
1277,"Casino Action",,50,"100","207431","28918"
1277,"Casino Action",,50,"120","12775","1767"
1277,"Casino Action",,50,"140","18235","2533"
1277,"Casino Action",,50,"150","27930","3954"
1277,"Casino Action",,50,"200","14690","2053"
1277,"Casino Action",,50,"500","14621","2042"
1277,"Casino Action",,50,"1000","5166","670"
1277,"Casino Action",,50,"1250","744","106"
1277,"Casino Action",,50,"2000","2046","252"
1277,"Casino Action",,50,"10000","108","10"
1277,"Casino Action",,50,"7500000","3",
1277,"Casino Action",,50,"TOTAL","1548540","216716"
1293,"Double Blackjack",,2,"2","591061","452827"
1293,"Double Blackjack",,2,"4","788503","620036"
1293,"Double Blackjack",,2,"5","98538","77223"
1293,"Double Blackjack",,2,"10","114881","92321"
1293,"Double Blackjack",,2,"20","49323","39621"
1293,"Double Blackjack",,2,"50","35552","28930"
1293,"Double Blackjack",,2,"100","13066","10575"
1293,"Double Blackjack",,2,"500","832","658"
1293,"Double Blackjack",,2,"2100","23","18"
1293,"Double Blackjack",,2,"21000","8","6"
1293,"Double Blackjack",,2,"TOTAL","1691787","1322215"
1297,"Red Hot Cherries","04/04/2012",1,"1","984640","858024"
1297,"Red Hot Cherries","04/04/2012",1,"2","1136256","1018017"
1297,"Red Hot Cherries","04/04/2012",1,"4","227302","207351"
1297,"Red Hot Cherries","04/04/2012",1,"5","75772","69662"
1297,"Red Hot Cherries","04/04/2012",1,"10","75750","70325"
1297,"Red Hot Cherries","04/04/2012",1,"20","37864","35288"
1297,"Red Hot Cherries","04/04/2012",1,"40","4751","4437"
1297,"Red Hot Cherries","04/04/2012",1,"50","2363","2225"
1297,"Red Hot Cherries","04/04/2012",1,"100","1892","1765"
1297,"Red Hot Cherries","04/04/2012",1,"500","241","222"
1297,"Red Hot Cherries","04/04/2012",1,"1000","144","138"
1297,"Red Hot Cherries","04/04/2012",1,"TOTAL","2546975","2267454"
1310,"Triple Your Money",,2,"2","595899","465519"
1310,"Triple Your Money",,2,"3","728385","574205"
1310,"Triple Your Money",,2,"5","165537","132757"
1310,"Triple Your Money",,2,"10","115943","94183"
1310,"Triple Your Money",,2,"15","49631","40268"
1310,"Triple Your Money",,2,"20","66183","53957"
