Scratch-Off Prizes as of 03/14/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1028,"Super Set For Life II","04/04/2012",20,"20","444767","280607"
1028,"Super Set For Life II","04/04/2012",20,"25","815607","514633"
1028,"Super Set For Life II","04/04/2012",20,"30","740969","467992"
1028,"Super Set For Life II","04/04/2012",20,"40","296485","187403"
1028,"Super Set For Life II","04/04/2012",20,"100","95798","60988"
1028,"Super Set For Life II","04/04/2012",20,"500","8928","5677"
1028,"Super Set For Life II","04/04/2012",20,"1000","3765","2376"
1028,"Super Set For Life II","04/04/2012",20,"2000","619","382"
1028,"Super Set For Life II","04/04/2012",20,"10000","30","19"
1028,"Super Set For Life II","04/04/2012",20,"$500,000/year**","4","3"
1028,"Super Set For Life II","04/04/2012",20,TOTAL,"2406972","1520080"
1114,"$500,000,000 Blockbuster","",20,"20","6575266","5395223"
1114,"$500,000,000 Blockbuster","",20,"25","2768544","2295371"
1114,"$500,000,000 Blockbuster","",20,"30","1384272","1148609"
1114,"$500,000,000 Blockbuster","",20,"50","692304","574937"
1114,"$500,000,000 Blockbuster","",20,"100","836122","693868"
1114,"$500,000,000 Blockbuster","",20,"200","155731","129231"
1114,"$500,000,000 Blockbuster","",20,"500","46174","38384"
1114,"$500,000,000 Blockbuster","",20,"1000","23137","19130"
1114,"$500,000,000 Blockbuster","",20,"10000","870","721"
1114,"$500,000,000 Blockbuster","",20,"25000","290","242"
1114,"$500,000,000 Blockbuster","",20,"1000000","40","34"
1114,"$500,000,000 Blockbuster","",20,"2500000","10","8"
1114,"$500,000,000 Blockbuster","",20,TOTAL,"12482760","10295758"
1142,"Maximum Millions","",20,"20","731280","226047"
1142,"Maximum Millions","",20,"50","512011","159360"
1142,"Maximum Millions","",20,"100","36289","11201"
1142,"Maximum Millions","",20,"200","18257","5698"
1142,"Maximum Millions","",20,"500","3083","969"
1142,"Maximum Millions","",20,"1000","1324","381"
1142,"Maximum Millions","",20,"5000","62","17"
1142,"Maximum Millions","",20,"10000","16","5"
1142,"Maximum Millions","",20,"1000000","4","2"
1142,"Maximum Millions","",20,TOTAL,"1302326","403680"
1197,"Set For Life","",10,"10","1473604","1335022"
1197,"Set For Life","",10,"20","1227486","1126275"
1197,"Set For Life","",10,"50","204549","188708"
1197,"Set For Life","",10,"100","165283","152005"
1197,"Set For Life","",10,"200","26641","24528"
1197,"Set For Life","",10,"500","3599","3324"
1197,"Set For Life","",10,"1000","313","284"
1197,"Set For Life","",10,"2500","209","191"
1197,"Set For Life","",10,"$250,000/year**","3","2"
1197,"Set For Life","",10,TOTAL,"3101687","2830339"
1214,"Ultimate Casino Jackpot","",50,"50","556104","474405"
1214,"Ultimate Casino Jackpot","",50,"70","648905","553912"
1214,"Ultimate Casino Jackpot","",50,"100","213982","182084"
1214,"Ultimate Casino Jackpot","",50,"150","51554","43884"
1214,"Ultimate Casino Jackpot","",50,"250","14664","12508"
1214,"Ultimate Casino Jackpot","",50,"500","13880","11855"
1214,"Ultimate Casino Jackpot","",50,"1000","4353","3689"
1214,"Ultimate Casino Jackpot","",50,"2000","1565","1318"
1214,"Ultimate Casino Jackpot","",50,"10000","104","92"
1214,"Ultimate Casino Jackpot","",50,"7500000","3","2"
1214,"Ultimate Casino Jackpot","",50,TOTAL,"1505114","1283749"
1217,"Bonus Word Crossword","",3,"3","3460184","1306854"
1217,"Bonus Word Crossword","",3,"5","4448364","1764004"
1217,"Bonus Word Crossword","",3,"10","618236","248440"
1217,"Bonus Word Crossword","",3,"20","370672","149836"
1217,"Bonus Word Crossword","",3,"100","63247","25372"
1217,"Bonus Word Crossword","",3,"500","12878","5189"
1217,"Bonus Word Crossword","",3,"5000","104","46"
1217,"Bonus Word Crossword","",3,"35000","48","20"
1217,"Bonus Word Crossword","",3,TOTAL,"8973733","3499761"
1231,"Maybe It's Your Lucky Day","",1,"1","88795","76838"
1231,"Maybe It's Your Lucky Day","",1,"2","18963","16692"
1231,"Maybe It's Your Lucky Day","",1,"3","15929","14188"
1231,"Maybe It's Your Lucky Day","",1,"4","4746","4258"
1231,"Maybe It's Your Lucky Day","",1,"5","3194","2885"
1231,"Maybe It's Your Lucky Day","",1,"6","3172","2862"
1231,"Maybe It's Your Lucky Day","",1,"10","3171","2917"
1231,"Maybe It's Your Lucky Day","",1,"20","788","727"
1231,"Maybe It's Your Lucky Day","",1,"50","100","90"
1231,"Maybe It's Your Lucky Day","",1,"300","16","14"
1231,"Maybe It's Your Lucky Day","",1,TOTAL,"138874","121471"
1232,"Big Money","",10,"10","587635","422457"
1232,"Big Money","",10,"20","419970","305914"
1232,"Big Money","",10,"30","106733","78471"
1232,"Big Money","",10,"50","63054","46251"
1232,"Big Money","",10,"100","75940","55712"
1232,"Big Money","",10,"300","210","142"
1232,"Big Money","",10,"1000","17","12"
1232,"Big Money","",10,"10000","16","9"
1232,"Big Money","",10,"100000","9","6"
1232,"Big Money","",10,TOTAL,"1253584","908974"
1242,"Casino Bingo","",2,"2","3537796","2649699"
1242,"Casino Bingo","",2,"3","1342199","1000723"
1242,"Casino Bingo","",2,"5","1464348","1140591"
1242,"Casino Bingo","",2,"10","366128","282336"
1242,"Casino Bingo","",2,"15","121969","101163"
1242,"Casino Bingo","",2,"20","244028","194509"
1242,"Casino Bingo","",2,"30","62283","51788"
1242,"Casino Bingo","",2,"50","83867","63722"
1242,"Casino Bingo","",2,"100","31126","24496"
1242,"Casino Bingo","",2,"500","2300","1882"
1242,"Casino Bingo","",2,"1000","67","56"
1242,"Casino Bingo","",2,"30000","15","13"
1242,"Casino Bingo","",2,TOTAL,"7256126","5510978"
1253,"Spicy Hot 7's","",2,"2","559352","177801"
1253,"Spicy Hot 7's","",2,"4","643400","210659"
1253,"Spicy Hot 7's","",2,"5","83926","27760"
1253,"Spicy Hot 7's","",2,"10","97899","33220"
1253,"Spicy Hot 7's","",2,"20","41957","14480"
1253,"Spicy Hot 7's","",2,"50","46638","16268"
1253,"Spicy Hot 7's","",2,"100","6471","2254"
1253,"Spicy Hot 7's","",2,"1000","47","16"
1253,"Spicy Hot 7's","",2,"20000","7","3"
1253,"Spicy Hot 7's","",2,TOTAL,"1479697","482461"
1277,"Casino Action","",50,"50","574387","88296"
1277,"Casino Action","",50,"70","670404","103359"
1277,"Casino Action","",50,"100","207431","31741"
1277,"Casino Action","",50,"120","12775","1948"
1277,"Casino Action","",50,"140","18235","2778"
1277,"Casino Action","",50,"150","27930","4358"
1277,"Casino Action","",50,"200","14690","2268"
1277,"Casino Action","",50,"500","14621","2258"
1277,"Casino Action","",50,"1000","5166","752"
1277,"Casino Action","",50,"1250","744","122"
1277,"Casino Action","",50,"2000","2046","284"
1277,"Casino Action","",50,"10000","108","11"
1277,"Casino Action","",50,"7500000","3",""
1277,"Casino Action","",50,TOTAL,"1548540","238175"
1293,"Double Blackjack","",2,"2","591061","457666"
1293,"Double Blackjack","",2,"4","788503","626515"
1293,"Double Blackjack","",2,"5","98538","78010"
1293,"Double Blackjack","",2,"10","114881","93291"
1293,"Double Blackjack","",2,"20","49323","40051"
1293,"Double Blackjack","",2,"50","35552","29229"
1293,"Double Blackjack","",2,"100","13066","10687"
1293,"Double Blackjack","",2,"500","832","664"
1293,"Double Blackjack","",2,"2100","23","18"
1293,"Double Blackjack","",2,"21000","8","6"
1293,"Double Blackjack","",2,TOTAL,"1691787","1336137"
1297,"Red Hot Cherries","04/04/2012",1,"1","984640","859667"
1297,"Red Hot Cherries","04/04/2012",1,"2","1136256","1019656"
1297,"Red Hot Cherries","04/04/2012",1,"4","227302","207636"
1297,"Red Hot Cherries","04/04/2012",1,"5","75772","69748"
1297,"Red Hot Cherries","04/04/2012",1,"10","75750","70405"
1297,"Red Hot Cherries","04/04/2012",1,"20","37864","35315"
1297,"Red Hot Cherries","04/04/2012",1,"40","4751","4440"
1297,"Red Hot Cherries","04/04/2012",1,"50","2363","2227"
1297,"Red Hot Cherries","04/04/2012",1,"100","1892","1765"
1297,"Red Hot Cherries","04/04/2012",1,"500","241","222"
1297,"Red Hot Cherries","04/04/2012",1,"1000","144","138"
1297,"Red Hot Cherries","04/04/2012",1,TOTAL,"2546975","2271219"
1310,"Triple Your Money","",2,"2","595899","471009"
1310,"Triple Your Money","",2,"3","728385","580995"
1310,"Triple Your Money","",2,"5","165537","134301"
1310,"Triple Your Money","",2,"10","115943","95278"
1310,"Triple Your Money","",2,"15","49631","40713"
1310,"Triple Your Money","",2,"20","66183","54559"
1310,"Triple Your Money","",2,"30","27597","22589"
1310,"Triple Your Money","",2,"60","20502","16913"
1310,"Triple Your Money","",2,"200","4821","3972"
1310,"Triple Your Money","",2,"1000","139","114"
1310,"Triple Your Money","",2,"20000","8","6"
1310,"Triple Your Money","",2,TOTAL,"1774645","1420449"
1317,"Yellow Rose of Texas","",2,"2","659764","497191"
1317,"Yellow Rose of Texas","",2,"4","758986","590796"
1317,"Yellow Rose of Texas","",2,"5","98988","76821"
1317,"Yellow Rose of Texas","",2,"10","115434","92706"
1317,"Yellow Rose of Texas","",2,"20","49520","39853"
1317,"Yellow Rose of Texas","",2,"50","54961","44770"
1317,"Yellow Rose of Texas","",2,"100","7681","6285"
1317,"Yellow Rose of Texas","",2,"1000","49","44"
1317,"Yellow Rose of Texas","",2,"20000","8","6"
1317,"Yellow Rose of Texas","",2,TOTAL,"1745391","1348472"
