Scratch-Off Prizes as of 03/28/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1028,Super Set For Life II,04/04/2012,20,20,444767,280913
1028,Super Set For Life II,04/04/2012,20,25,815607,515144
1028,Super Set For Life II,04/04/2012,20,30,740969,468444
1028,Super Set For Life II,04/04/2012,20,40,296485,187584
1028,Super Set For Life II,04/04/2012,20,100,95798,61038
1028,Super Set For Life II,04/04/2012,20,500,8928,5684
1028,Super Set For Life II,04/04/2012,20,1000,3765,2380
1028,Super Set For Life II,04/04/2012,20,2000,619,383
1028,Super Set For Life II,04/04/2012,20,10000,30,19
1028,Super Set For Life II,04/04/2012,20,$500000/year,4,3
1028,Super Set For Life II,04/04/2012,20,TOTAL,2406972,1521592
1114,$500000000 Blockbuster,,20,20,6575266,5428505
1114,$500000000 Blockbuster,,20,25,2768544,2309563
1114,$500000000 Blockbuster,,20,30,1384272,1155663
1114,$500000000 Blockbuster,,20,50,692304,578444
1114,$500000000 Blockbuster,,20,100,836122,698065
1114,$500000000 Blockbuster,,20,200,155731,130010
1114,$500000000 Blockbuster,,20,500,46174,38595
1114,$500000000 Blockbuster,,20,1000,23137,19252
1114,$500000000 Blockbuster,,20,10000,870,726
1114,$500000000 Blockbuster,,20,25000,290,242
1114,$500000000 Blockbuster,,20,1000000,40,34
1114,$500000000 Blockbuster,,20,2500000,10,8
1114,$500000000 Blockbuster,,20,TOTAL,12482760,10359107
1142,Maximum Millions,,20,20,731280,284862
1142,Maximum Millions,,20,50,512011,200385
1142,Maximum Millions,,20,100,36289,14110
1142,Maximum Millions,,20,200,18257,7153
1142,Maximum Millions,,20,500,3083,1199
1142,Maximum Millions,,20,1000,1324,474
1142,Maximum Millions,,20,5000,62,24
1142,Maximum Millions,,20,10000,16,7
1142,Maximum Millions,,20,1000000,4,2
1142,Maximum Millions,,20,TOTAL,1302326,508216
1197,Set For Life,,10,10,1473604,1359393
1197,Set For Life,,10,20,1227486,1146809
1197,Set For Life,,10,50,204549,192127
1197,Set For Life,,10,100,165283,154754
1197,Set For Life,,10,200,26641,24959
1197,Set For Life,,10,500,3599,3389
1197,Set For Life,,10,1000,313,287
1197,Set For Life,,10,2500,209,194
1197,Set For Life,,10,$250000/year,3,2
1197,Set For Life,,10,TOTAL,3101687,2881914
1214,Ultimate Casino Jackpot,,50,50,556104,478820
1214,Ultimate Casino Jackpot,,50,70,648905,559064
1214,Ultimate Casino Jackpot,,50,100,213982,183798
1214,Ultimate Casino Jackpot,,50,150,51554,44281
1214,Ultimate Casino Jackpot,,50,250,14664,12628
1214,Ultimate Casino Jackpot,,50,500,13880,11969
1214,Ultimate Casino Jackpot,,50,1000,4353,3720
1214,Ultimate Casino Jackpot,,50,2000,1565,1334
1214,Ultimate Casino Jackpot,,50,10000,104,93
1214,Ultimate Casino Jackpot,,50,7500000,3,2
1214,Ultimate Casino Jackpot,,50,TOTAL,1505114,1295709
1217,Bonus Word Crossword,,3,3,3460184,1406334
1217,Bonus Word Crossword,,3,5,4448364,1897957
1217,Bonus Word Crossword,,3,10,618236,267454
1217,Bonus Word Crossword,,3,20,370672,161221
1217,Bonus Word Crossword,,3,100,63247,27302
1217,Bonus Word Crossword,,3,500,12878,5576
1217,Bonus Word Crossword,,3,5000,104,48
1217,Bonus Word Crossword,,3,35000,48,20
1217,Bonus Word Crossword,,3,TOTAL,8973733,3765912
1231,Maybe It's Your Lucky Day,,1,1,88795,76880
1231,Maybe It's Your Lucky Day,,1,2,18963,16701
1231,Maybe It's Your Lucky Day,,1,3,15929,14197
1231,Maybe It's Your Lucky Day,,1,4,4746,4259
1231,Maybe It's Your Lucky Day,,1,5,3194,2887
1231,Maybe It's Your Lucky Day,,1,6,3172,2864
1231,Maybe It's Your Lucky Day,,1,10,3171,2919
1231,Maybe It's Your Lucky Day,,1,20,788,727
1231,Maybe It's Your Lucky Day,,1,50,100,90
1231,Maybe It's Your Lucky Day,,1,300,16,14
1231,Maybe It's Your Lucky Day,,1,TOTAL,138874,121538
1232,Big Money,,10,10,587635,473900
1232,Big Money,,10,20,419970,342658
1232,Big Money,,10,30,106733,87784
1232,Big Money,,10,50,63054,51806
1232,Big Money,,10,100,75940,62464
1232,Big Money,,10,300,210,166
1232,Big Money,,10,1000,17,12
1232,Big Money,,10,10000,16,12
1232,Big Money,,10,100000,9,7
1232,Big Money,,10,TOTAL,1253584,1018809
1242,Casino Bingo,,2,2,3537796,2763029
1242,Casino Bingo,,2,3,1342199,1043365
1242,Casino Bingo,,2,5,1464348,1189124
1242,Casino Bingo,,2,10,366128,294213
1242,Casino Bingo,,2,15,121969,105388
1242,Casino Bingo,,2,20,244028,202638
1242,Casino Bingo,,2,30,62283,53954
1242,Casino Bingo,,2,50,83867,66378
1242,Casino Bingo,,2,100,31126,25581
1242,Casino Bingo,,2,500,2300,1956
1242,Casino Bingo,,2,1000,67,56
1242,Casino Bingo,,2,30000,15,13
1242,Casino Bingo,,2,TOTAL,7256126,5745695
1253,Spicy Hot 7's,,2,2,559352,261260
1253,Spicy Hot 7's,,2,4,643400,307940
1253,Spicy Hot 7's,,2,5,83926,40545
1253,Spicy Hot 7's,,2,10,97899,48266
1253,Spicy Hot 7's,,2,20,41957,20988
1253,Spicy Hot 7's,,2,50,46638,23591
1253,Spicy Hot 7's,,2,100,6471,3271
1253,Spicy Hot 7's,,2,1000,47,25
1253,Spicy Hot 7's,,2,20000,7,3
1253,Spicy Hot 7's,,2,TOTAL,1479697,705889
1277,Casino Action,,50,50,574387,103004
1277,Casino Action,,50,70,670404,120332
1277,Casino Action,,50,100,207431,36971
1277,Casino Action,,50,120,12775,2284
1277,Casino Action,,50,140,18235,3235
1277,Casino Action,,50,150,27930,5035
