Scratch-Off Prizes as of 03/18/2012
Game Number, Game Name, Game Close Date, Ticket Price, Prize Level, Total Prizes in Level, Prizes Claimed
1028,Super Set For Life II,04/04/2012,20,20,444767,280716
1028,Super Set For Life II,04/04/2012,20,25,815607,514818
1028,Super Set For Life II,04/04/2012,20,30,740969,468169
1028,Super Set For Life II,04/04/2012,20,40,296485,187474
1028,Super Set For Life II,04/04/2012,20,100,95798,61010
1028,Super Set For Life II,04/04/2012,20,500,8928,5678
1028,Super Set For Life II,04/04/2012,20,1000,3765,2378
1028,Super Set For Life II,04/04/2012,20,2000,619,382
1028,Super Set For Life II,04/04/2012,20,10000,30,19
1028,Super Set For Life II,04/04/2012,20,$500000/year,4,3
1028,Super Set For Life II,04/04/2012,20,TOTAL,2406972,1520647
1114,$500000000 Blockbuster,,20,20,6575266,5405249
1114,$500000000 Blockbuster,,20,25,2768544,2299549
1114,$500000000 Blockbuster,,20,30,1384272,1150718
1114,$500000000 Blockbuster,,20,50,692304,576013
1114,$500000000 Blockbuster,,20,100,836122,695107
1114,$500000000 Blockbuster,,20,200,155731,129477
1114,$500000000 Blockbuster,,20,500,46174,38440
1114,$500000000 Blockbuster,,20,1000,23137,19154
1114,$500000000 Blockbuster,,20,10000,870,722
1114,$500000000 Blockbuster,,20,25000,290,242
1114,$500000000 Blockbuster,,20,1000000,40,34
1114,$500000000 Blockbuster,,20,2500000,10,8
1114,$500000000 Blockbuster,,20,TOTAL,12482760,10314713
1142,Maximum Millions,,20,20,731280,243844
1142,Maximum Millions,,20,50,512011,171796
1142,Maximum Millions,,20,100,36289,12049
1142,Maximum Millions,,20,200,18257,6139
1142,Maximum Millions,,20,500,3083,1048
1142,Maximum Millions,,20,1000,1324,402
1142,Maximum Millions,,20,5000,62,18
1142,Maximum Millions,,20,10000,16,5
1142,Maximum Millions,,20,1000000,4,2
1142,Maximum Millions,,20,TOTAL,1302326,435303
1197,Set For Life,,10,10,1473604,1343071
1197,Set For Life,,10,20,1227486,1132974
1197,Set For Life,,10,50,204549,189821
1197,Set For Life,,10,100,165283,152900
1197,Set For Life,,10,200,26641,24668
1197,Set For Life,,10,500,3599,3348
1197,Set For Life,,10,1000,313,285
1197,Set For Life,,10,2500,209,192
1197,Set For Life,,10,$250000/year,3,2
1197,Set For Life,,10,TOTAL,3101687,2847261
1214,Ultimate Casino Jackpot,,50,50,556104,475714
1214,Ultimate Casino Jackpot,,50,70,648905,555355
1214,Ultimate Casino Jackpot,,50,100,213982,182616
1214,Ultimate Casino Jackpot,,50,150,51554,44000
1214,Ultimate Casino Jackpot,,50,250,14664,12543
1214,Ultimate Casino Jackpot,,50,500,13880,11889
1214,Ultimate Casino Jackpot,,50,1000,4353,3695
1214,Ultimate Casino Jackpot,,50,2000,1565,1324
1214,Ultimate Casino Jackpot,,50,10000,104,92
1214,Ultimate Casino Jackpot,,50,7500000,3,2
1214,Ultimate Casino Jackpot,,50,TOTAL,1505114,1287230
1217,Bonus Word Crossword,,3,3,3460184,1335666
1217,Bonus Word Crossword,,3,5,4448364,1802692
1217,Bonus Word Crossword,,3,10,618236,254028
1217,Bonus Word Crossword,,3,20,370672,153120
1217,Bonus Word Crossword,,3,100,63247,25923
1217,Bonus Word Crossword,,3,500,12878,5294
1217,Bonus Word Crossword,,3,5000,104,46
1217,Bonus Word Crossword,,3,35000,48,20
1217,Bonus Word Crossword,,3,TOTAL,8973733,3576789
1231,Maybe It's Your Lucky Day,,1,1,88795,76847
1231,Maybe It's Your Lucky Day,,1,2,18963,16696
1231,Maybe It's Your Lucky Day,,1,3,15929,14189
1231,Maybe It's Your Lucky Day,,1,4,4746,4258
1231,Maybe It's Your Lucky Day,,1,5,3194,2885
1231,Maybe It's Your Lucky Day,,1,6,3172,2862
1231,Maybe It's Your Lucky Day,,1,10,3171,2917
1231,Maybe It's Your Lucky Day,,1,20,788,727
1231,Maybe It's Your Lucky Day,,1,50,100,90
1231,Maybe It's Your Lucky Day,,1,300,16,14
1231,Maybe It's Your Lucky Day,,1,TOTAL,138874,121485
1232,Big Money,,10,10,587635,440121
1232,Big Money,,10,20,419970,318522
1232,Big Money,,10,30,106733,81643
1232,Big Money,,10,50,63054,48173
1232,Big Money,,10,100,75940,58066
1232,Big Money,,10,300,210,151
1232,Big Money,,10,1000,17,12
1232,Big Money,,10,10000,16,10
1232,Big Money,,10,100000,9,6
1232,Big Money,,10,TOTAL,1253584,946704
1242,Casino Bingo,,2,2,3537796,2682757
1242,Casino Bingo,,2,3,1342199,1013145
1242,Casino Bingo,,2,5,1464348,1154828
1242,Casino Bingo,,2,10,366128,285807
1242,Casino Bingo,,2,15,121969,102429
1242,Casino Bingo,,2,20,244028,197030
